415242598 415242565 705435897 705440373 705440367 604777074 604775549 604775614 604775467 604775467 
850015084 850015028 1091842825 1091846492 1091846470 850018628 1007959120 1007959154 1007959078 1008614438 
1253198630 1253198607 1495026408 1495030117 1495030106 1126848856 1411142758 1411142800 1411142706 1412322354 
1532079437 -1072914008 -255814317 -430570035 -1440679560 1797125222 798066460 1223401590 287664304 -1784256336 
-734083548 -582756502 1417878382 1017519598 -1717797362 1692356064 -1222557582 -798273160 1671427894 -1494223050 
-511071982 1732982446 -289580837 1173825407 2118673864 -1937189573 -1784723350 -1836238005 -31867660 -1580614412 
-1049446800 -1840804016 -907335184 -2026437836 938129904 224132148 -234268816 -790418372 1265155296 490257632 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
